#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Apr 18 19:32:24 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Top_map.ncd
#OUTPUT FILE:      Top_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,MemtoReg,IOB,IO_L24P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A5,,DIFFMI,IP_L22P_0,UNUSED,,0,,,,,,,,,
A6,pc_in1<5>,IOB,IO_L20N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A7,,IBUF,IP,UNUSED,,0,,,,,,,,,
A8,zero<0>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,ALUSrc,IOB,IO_L12N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,reg_din<13>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A12,,,NC,,,,,,,,,,,,
A13,,DIFFM,IO_L05P_0,UNUSED,,0,,,,,,,,,
A14,,DIFFS,IO_L04N_0,UNUSED,,0,,,,,,,,,
A15,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
A16,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,reg_din<3>,IOB,IO_L25N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B4,reg_din<0>,IOB,IO_L24N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B5,,DIFFSI,IP_L22N_0,UNUSED,,0,,,,,,,,,
B6,reg_din<8>,IOB,IO_L20P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,clk,IBUF,IP_L13P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B9,,DIFFSI,IP_L13N_0/GCLK9,UNUSED,,0,,,,,,,,,
B10,reg_din<16>,IOB,IO_L12P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B11,reg_din<17>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,
